Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ACBarrie_R1	55.93777009507346	38.0	92.42350907519447	27.27272727272727	5785.0
ACBarrie_R2	59.65761715372644	38.0	93.52550579284109	27.27272727272727	5783.0
Alsen_R1	15.073301672517033	41.0	95.04934957670865	18.181818181818183	4843.0
Alsen_R2	15.509783728115352	40.0	95.79443872296602	18.181818181818183	4855.0
Baxter_R1	18.900543900543894	40.0	95.66336441336442	0.0	10296.0
Baxter_R2	19.104941267838072	40.0	95.45170371808562	0.0	10301.0
Chara_R1	34.04098209340964	39.0	94.47221709433266	9.090909090909092	10834.0
Chara_R2	37.033960871170166	39.0	95.18420081210779	9.090909090909092	10836.0
Drysdale_R1	4.483204134366929	40.0	96.45749354005169	0.0	7740.0
Drysdale_R2	4.432669940553112	40.0	96.20263634013958	0.0	7738.0
